city,humidity,cloudiness,windspeed,long,lat,temp,max_temp
tasiilaq,86,100,10.8,-37.64,65.61,30.2,30.2
harper,86,66,2.18,-7.72,4.38,78.422,78.422
ushuaia,81,75,17,-68.3,-54.8,50,50
kodiak,63,75,6.7,-152.41,57.79,30.2,30.2
hilo,69,75,2.6,-155.09,19.73,72.518,75.992
vestmannaeyjar,76,100,10.55,-20.27,63.44,44.204,44.204
khatanga,98,100,2.32,102.5,71.97,-22.918,-22.918
fortuna,71,1,2.1,-124.16,40.6,52.376,55.004
hvide sande,100,38,1.5,8.13,56,39.056,42.998
avarua,88,100,4.6,-159.78,-21.21,80.6,80.6
touros,66,20,6.2,-35.46,-5.2,84.2,84.2
yumen,82,0,4.09,97.2,40.28,12.182,12.182
hongjiang,75,100,0.7,110,27.11,43.484,43.484
mayo,44,40,6.2,-76.51,38.89,37.616,41
ingham,79,90,2.6,-84.38,42.6,20.426,23
viransehir,86,100,5.78,39.76,37.24,45.518,45.518
belawan,100,40,1.5,98.68,3.78,77,77
jacareacanga,68,43,1.18,-57.75,-6.22,86.45,86.45
lorengau,75,34,7.57,147.27,-2.02,83.48,83.48
bredasdorp,88,100,9.3,20.04,-34.53,63.482,64.4
atuona,76,1,7.01,-139.03,-9.8,80.564,80.564
bluff,98,100,0.45,168.33,-46.6,55.994,55.994
castro,78,74,1.29,-50.01,-24.79,73.616,73.616
poum,80,2,7,164.02,-20.23,78.44,78.44
chepareria,38,0,2.33,35.2,1.31,71.096,71.096
denia,83,100,11.62,0.11,38.84,48.65,51.008
saint-philippe,78,93,2.6,55.77,-21.36,76.046,80.6
namibe,85,14,3.88,12.15,-15.2,75.506,75.506
luderitz,88,0,5.1,15.16,-26.65,64.4,64.4
poronaysk,90,100,2.77,143.12,49.22,6.818,6.818
los llanos de aridane,72,20,4.6,-17.92,28.66,63.176,64.994
cape town,68,20,8.7,18.42,-33.93,67.964,69.998
coquimbo,68,20,6.2,-71.34,-29.95,69.8,69.8
chuy,58,30,3.23,-53.46,-33.7,80.888,80.888
